data,threshold,precision,recall,f-score,auprc,model
train,0.11,0.265545474662536,0.759493670886076,0.5535566011624689,0.419,LogisticRegression
test,0.09,0.22965116279069767,0.7802469135802469,0.527369826435247,0.353,LogisticRegression
