data,threshold,precision,recall,f-score,auprc,model
train,0.17,0.8021088652860171,0.927850372561911,0.8996440761252109,0.967,LSTM_Tiny
test,0.16,0.5846414596414596,0.8378488523735003,0.7710598641415232,0.855,LSTM_Tiny
