data,threshold,precision,recall,f-score,auprc,model
train,0.47000000000000003,0.27347291172026766,0.8018987341772152,0.5783803524148635,0.509,RandomForest
test,0.48,0.2808349146110057,0.7308641975308642,0.5534779356768884,0.398,RandomForest
