data,threshold,precision,recall,f-score,auprc,model
train,0.67,0.9987325728770595,0.9974683544303797,0.9977209420106358,0.999,MLP_locallatest
train,0.68,0.9987325728770595,0.9974683544303797,0.9977209420106358,0.999,MLP_locallatest
train,0.6900000000000001,0.9987325728770595,0.9974683544303797,0.9977209420106358,0.999,MLP_locallatest
test,0.0,0.12695924764890282,1.0,0.42099792099792094,0.358,MLP_locallatest
