data,threshold,precision,recall,f-score,auprc,model
train,0.13,0.3429283144201495,0.7841772151898734,0.623678646934461,0.576,XGboost
test,0.12,0.3056092843326886,0.7802469135802469,0.5953278070836473,0.458,XGboost
